#date: 08.10.2020	time: 16:39:38
#t (s)	f (Hz)	A1 (V)	A2 (V)	phase (deg)	|Z| (Ohm)	Arg Z (Ohm)	Re Z (Ohm)	Im Z (deg)
112.45	5.1700E+6	2.8214	0.5917	+6.0	5.165E+1	-7.6	5.12E+1	-6.82E+0
112.63	5.1800E+6	2.8058	0.5896	+8.0	5.171E+1	-10.1	5.09E+1	-9.08E+0
112.81	5.1900E+6	2.8115	0.5917	+5.0	5.191E+1	-6.3	5.16E+1	-5.72E+0
113.01	5.2000E+6	2.8072	0.5879	+7.0	5.153E+1	-8.8	5.09E+1	-7.92E+0
113.19	5.2100E+6	2.8115	0.5899	+5.0	5.171E+1	-6.3	5.14E+1	-5.70E+0
113.38	5.2200E+6	2.8086	0.5909	+6.0	5.186E+1	-7.6	5.14E+1	-6.85E+0
113.54	5.2300E+6	2.8044	0.5883	+7.0	5.164E+1	-8.8	5.10E+1	-7.94E+0
113.73	5.2400E+6	2.7931	0.5838	+6.0	5.143E+1	-7.6	5.10E+1	-6.78E+0
113.93	5.2500E+6	2.7846	0.5835	+8.0	5.153E+1	-10.1	5.07E+1	-9.04E+0
114.09	5.2600E+6	2.7860	0.5824	+5.0	5.147E+1	-6.3	5.12E+1	-5.66E+0
114.26	5.2700E+6	2.7860	0.5849	+7.0	5.169E+1	-8.9	5.11E+1	-7.95E+0
114.42	5.2800E+6	2.7860	0.5819	+6.0	5.139E+1	-7.6	5.09E+1	-6.78E+0
114.61	5.2900E+6	2.7902	0.5829	+4.0	5.146E+1	-5.1	5.13E+1	-4.53E+0
114.78	5.3000E+6	2.7789	0.5819	+4.0	5.161E+1	-5.1	5.14E+1	-4.55E+0
114.94	5.3100E+6	2.7803	0.5791	+7.0	5.118E+1	-8.8	5.06E+1	-7.86E+0
115.12	5.3200E+6	2.7789	0.5788	+7.0	5.118E+1	-8.8	5.06E+1	-7.86E+0
115.29	5.3300E+6	2.7676	0.5771	+8.0	5.121E+1	-10.1	5.04E+1	-8.98E+0
115.50	5.3400E+6	2.7690	0.5776	+6.0	5.130E+1	-7.6	5.09E+1	-6.76E+0
115.66	5.3500E+6	2.7704	0.5763	+6.0	5.112E+1	-7.6	5.07E+1	-6.74E+0
115.81	5.3600E+6	2.7733	0.5759	+6.0	5.101E+1	-7.6	5.06E+1	-6.72E+0
115.96	5.3700E+6	2.7676	0.5757	+5.0	5.115E+1	-6.3	5.08E+1	-5.62E+0
116.12	5.3800E+6	2.7577	0.5747	+4.0	5.130E+1	-5.1	5.11E+1	-4.52E+0
116.32	5.3900E+6	2.7535	0.5743	+7.0	5.126E+1	-8.8	5.07E+1	-7.87E+0
116.49	5.4000E+6	2.7634	0.5747	+7.0	5.108E+1	-8.8	5.05E+1	-7.84E+0
116.66	5.4100E+6	2.7464	0.5696	+6.0	5.094E+1	-7.6	5.05E+1	-6.71E+0
116.84	5.4200E+6	2.7464	0.5713	+5.0	5.116E+1	-6.3	5.08E+1	-5.62E+0
117.02	5.4300E+6	2.7393	0.5713	+9.0	5.118E+1	-11.4	5.02E+1	-1.01E+1
117.19	5.4400E+6	2.7464	0.5712	+6.0	5.111E+1	-7.6	5.07E+1	-6.73E+0
117.34	5.4500E+6	2.7323	0.5678	+6.0	5.106E+1	-7.6	5.06E+1	-6.73E+0
117.52	5.4600E+6	2.7294	0.5658	+5.0	5.093E+1	-6.3	5.06E+1	-5.59E+0
117.70	5.4700E+6	2.7294	0.5592	+9.0	5.004E+1	-11.3	4.91E+1	-9.81E+0
117.88	5.4800E+6	2.7393	0.5603	+7.0	5.002E+1	-8.8	4.94E+1	-7.65E+0
118.05	5.4900E+6	2.7238	0.5579	+5.0	5.017E+1	-6.3	4.99E+1	-5.49E+0
118.23	5.5000E+6	2.7224	0.5572	+5.0	5.012E+1	-6.3	4.98E+1	-5.49E+0
118.40	5.5100E+6	2.7280	0.5588	+7.0	5.011E+1	-8.8	4.95E+1	-7.66E+0
118.58	5.5200E+6	2.7224	0.5573	+5.0	5.014E+1	-6.3	4.98E+1	-5.49E+0
118.78	5.5300E+6	2.7209	0.5554	+6.0	4.992E+1	-7.5	4.95E+1	-6.54E+0
118.95	5.5400E+6	2.7153	0.5545	+5.0	4.998E+1	-6.3	4.97E+1	-5.47E+0
119.12	5.5500E+6	2.7153	0.5538	+4.0	4.992E+1	-5.0	4.97E+1	-4.37E+0
119.27	5.5600E+6	2.7125	0.5530	+5.0	4.987E+1	-6.3	4.96E+1	-5.45E+0
119.45	5.5700E+6	2.7082	0.5528	+5.0	4.995E+1	-6.3	4.97E+1	-5.46E+0
119.61	5.5800E+6	2.7040	0.5524	+4.0	5.002E+1	-5.0	4.98E+1	-4.38E+0
119.80	5.5900E+6	2.6941	0.5517	+7.0	5.009E+1	-8.8	4.95E+1	-7.66E+0
119.97	5.6000E+6	2.7040	0.5500	+5.0	4.973E+1	-6.3	4.94E+1	-5.43E+0
120.15	5.6100E+6	2.6941	0.5507	+6.0	5.001E+1	-7.5	4.96E+1	-6.56E+0
120.33	5.6200E+6	2.6856	0.5481	+7.0	4.989E+1	-8.8	4.93E+1	-7.62E+0
120.51	5.6300E+6	2.6856	0.5483	+6.0	4.994E+1	-7.5	4.95E+1	-6.55E+0
120.68	5.6400E+6	2.6927	0.5483	+7.0	4.974E+1	-8.8	4.92E+1	-7.59E+0
120.85	5.6500E+6	2.6785	0.5446	+6.0	4.968E+1	-7.5	4.93E+1	-6.51E+0
121.01	5.6600E+6	2.6898	0.5476	+8.0	4.969E+1	-10.0	4.89E+1	-8.66E+0
121.20	5.6700E+6	2.6743	0.5443	+5.0	4.977E+1	-6.3	4.95E+1	-5.44E+0
121.38	5.6800E+6	2.6771	0.5439	+8.0	4.957E+1	-10.0	4.88E+1	-8.63E+0
121.56	5.6900E+6	2.6729	0.5445	+8.0	4.973E+1	-10.0	4.90E+1	-8.66E+0
121.73	5.7000E+6	2.6714	0.5428	+6.0	4.963E+1	-7.5	4.92E+1	-6.50E+0
121.89	5.7100E+6	2.6729	0.5425	+6.0	4.957E+1	-7.5	4.91E+1	-6.49E+0
122.06	5.7200E+6	2.6757	0.5424	+6.0	4.949E+1	-7.5	4.91E+1	-6.48E+0
122.23	5.7300E+6	2.6729	0.5432	+6.0	4.965E+1	-7.5	4.92E+1	-6.50E+0
122.39	5.7400E+6	2.6771	0.5418	+6.0	4.939E+1	-7.5	4.90E+1	-6.46E+0
122.58	5.7500E+6	2.6587	0.5399	+6.0	4.961E+1	-7.5	4.92E+1	-6.50E+0
122.76	5.7600E+6	2.6545	0.5391	+6.0	4.961E+1	-7.5	4.92E+1	-6.50E+0
122.93	5.7700E+6	2.6644	0.5404	+5.0	4.955E+1	-6.3	4.93E+1	-5.41E+0
123.09	5.7800E+6	2.6531	0.5358	+5.0	4.929E+1	-6.3	4.90E+1	-5.38E+0
123.27	5.7900E+6	2.6432	0.5367	+5.0	4.962E+1	-6.3	4.93E+1	-5.42E+0
123.48	5.8000E+6	2.6488	0.5364	+5.0	4.946E+1	-6.3	4.92E+1	-5.40E+0
123.64	5.8100E+6	2.6474	0.5363	+6.0	4.945E+1	-7.5	4.90E+1	-6.47E+0
123.80	5.8200E+6	2.6361	0.5340	+6.0	4.945E+1	-7.5	4.90E+1	-6.47E+0
123.97	5.8300E+6	2.6290	0.5339	+4.0	4.965E+1	-5.0	4.95E+1	-4.34E+0
124.14	5.8400E+6	2.6304	0.5317	+5.0	4.935E+1	-6.3	4.91E+1	-5.38E+0
124.32	5.8500E+6	2.6347	0.5334	+3.0	4.948E+1	-3.8	4.94E+1	-3.25E+0
124.52	5.8600E+6	2.6248	0.5315	+4.0	4.947E+1	-5.0	4.93E+1	-4.32E+0
124.70	5.8700E+6	2.6262	0.5320	+7.0	4.942E+1	-8.8	4.88E+1	-7.54E+0
124.86	5.8800E+6	2.6290	0.5317	+5.0	4.938E+1	-6.3	4.91E+1	-5.39E+0
125.02	5.8900E+6	2.6205	0.5284	+4.0	4.921E+1	-5.0	4.90E+1	-4.30E+0
125.20	5.9000E+6	2.6248	0.5279	+6.0	4.901E+1	-7.5	4.86E+1	-6.40E+0
125.37	5.9100E+6	2.6347	0.5303	+6.0	4.906E+1	-7.5	4.86E+1	-6.41E+0
125.55	5.9200E+6	2.6191	0.5278	+7.0	4.910E+1	-8.8	4.85E+1	-7.48E+0
125.72	5.9300E+6	2.6135	0.5274	+5.0	4.924E+1	-6.3	4.89E+1	-5.37E+0
125.90	5.9400E+6	2.6205	0.5274	+6.0	4.904E+1	-7.5	4.86E+1	-6.41E+0
126.07	5.9500E+6	2.6177	0.5261	+6.0	4.896E+1	-7.5	4.85E+1	-6.39E+0
126.24	5.9600E+6	2.6220	0.5272	+5.0	4.902E+1	-6.3	4.87E+1	-5.34E+0
126.40	5.9700E+6	2.6106	0.5261	+8.0	4.906E+1	-10.0	4.83E+1	-8.53E+0
126.58	5.9800E+6	2.6007	0.5228	+5.0	4.901E+1	-6.3	4.87E+1	-5.34E+0
126.77	5.9900E+6	2.6007	0.5221	+5.0	4.892E+1	-6.3	4.86E+1	-5.33E+0
126.92	6.0000E+6	2.6050	0.5230	+5.0	4.892E+1	-6.3	4.86E+1	-5.33E+0
127.08	6.0100E+6	2.6050	0.5231	+3.0	4.898E+1	-3.8	4.89E+1	-3.21E+0
127.23	6.0200E+6	2.6050	0.5220	+4.0	4.883E+1	-5.0	4.86E+1	-4.26E+0
127.38	6.0300E+6	2.5923	0.5175	+3.0	4.861E+1	-3.7	4.85E+1	-3.18E+0
127.59	6.0400E+6	2.5923	0.5190	+5.0	4.876E+1	-6.2	4.85E+1	-5.31E+0
127.73	6.0500E+6	2.5923	0.5160	+4.0	4.843E+1	-5.0	4.82E+1	-4.21E+0
127.90	6.0600E+6	2.5824	0.5169	+5.0	4.874E+1	-6.2	4.85E+1	-5.30E+0
128.08	6.0700E+6	2.5824	0.5156	+4.0	4.861E+1	-5.0	4.84E+1	-4.23E+0
128.25	6.0800E+6	2.5781	0.5156	+5.0	4.869E+1	-6.2	4.84E+1	-5.30E+0
128.41	6.0900E+6	2.5781	0.5139	+4.0	4.851E+1	-5.0	4.83E+1	-4.22E+0
128.58	6.1000E+6	2.5739	0.5143	+4.0	4.866E+1	-5.0	4.85E+1	-4.24E+0
128.75	6.1100E+6	2.5866	0.5143	+4.0	4.836E+1	-5.0	4.82E+1	-4.21E+0
128.91	6.1200E+6	2.5767	0.5135	+4.0	4.850E+1	-5.0	4.83E+1	-4.22E+0
129.08	6.1300E+6	2.5866	0.5151	+6.0	4.840E+1	-7.5	4.80E+1	-6.31E+0
129.24	6.1400E+6	2.5725	0.5136	+3.0	4.863E+1	-3.7	4.85E+1	-3.18E+0
129.41	6.1500E+6	2.5824	0.5127	+4.0	4.826E+1	-5.0	4.81E+1	-4.20E+0
129.62	6.1600E+6	2.5654	0.5102	+3.0	4.839E+1	-3.7	4.83E+1	-3.16E+0
129.79	6.1700E+6	2.5640	0.5097	+4.0	4.834E+1	-5.0	4.82E+1	-4.21E+0
129.96	6.1800E+6	2.5654	0.5090	+6.0	4.818E+1	-7.5	4.78E+1	-6.27E+0
130.13	6.1900E+6	2.5668	0.5102	+7.0	4.827E+1	-8.7	4.77E+1	-7.33E+0
130.28	6.2000E+6	2.5484	0.5067	+6.0	4.831E+1	-7.5	4.79E+1	-6.29E+0
130.46	6.2100E+6	2.5696	0.5074	+3.0	4.796E+1	-3.7	4.79E+1	-3.13E+0
130.64	6.2200E+6	2.5512	0.5046	+6.0	4.800E+1	-7.5	4.76E+1	-6.24E+0
130.82	6.2300E+6	2.5498	0.5044	+4.0	4.806E+1	-5.0	4.79E+1	-4.18E+0
130.99	6.2400E+6	2.5456	0.5047	+3.0	4.821E+1	-3.7	4.81E+1	-3.15E+0
131.16	6.2500E+6	2.5428	0.5033	+4.0	4.809E+1	-5.0	4.79E+1	-4.18E+0
131.32	6.2600E+6	2.5470	0.5025	+6.0	4.784E+1	-7.5	4.74E+1	-6.22E+0
131.49	6.2700E+6	2.5329	0.5002	+5.0	4.793E+1	-6.2	4.76E+1	-5.20E+0
131.67	6.2800E+6	2.5442	0.5013	+7.0	4.775E+1	-8.7	4.72E+1	-7.23E+0
131.85	6.2900E+6	2.5484	0.5029	+3.0	4.792E+1	-3.7	4.78E+1	-3.12E+0
132.04	6.3000E+6	2.5456	0.5012	+6.0	4.773E+1	-7.5	4.73E+1	-6.20E+0
132.20	6.3100E+6	2.5314	0.4991	+6.0	4.780E+1	-7.5	4.74E+1	-6.21E+0
132.39	6.3200E+6	2.5272	0.4999	+6.0	4.801E+1	-7.5	4.76E+1	-6.24E+0
132.57	6.3300E+6	2.5329	0.4991	+6.0	4.777E+1	-7.5	4.74E+1	-6.21E+0
132.75	6.3400E+6	2.5244	0.4971	+3.0	4.779E+1	-3.7	4.77E+1	-3.11E+0
132.94	6.3500E+6	2.5428	0.4970	+1.0	4.737E+1	-1.2	4.74E+1	-1.03E+0
133.10	6.3600E+6	2.5329	0.4979	+5.0	4.766E+1	-6.2	4.74E+1	-5.16E+0
133.27	6.3700E+6	2.5173	0.4950	+2.0	4.772E+1	-2.5	4.77E+1	-2.07E+0
133.45	6.3800E+6	2.5230	0.4953	+5.0	4.757E+1	-6.2	4.73E+1	-5.15E+0
133.62	6.3900E+6	2.5116	0.4938	+5.0	4.767E+1	-6.2	4.74E+1	-5.17E+0
133.79	6.4000E+6	2.5173	0.4926	+3.0	4.742E+1	-3.7	4.73E+1	-3.08E+0
133.97	6.4100E+6	2.5116	0.4923	+3.0	4.752E+1	-3.7	4.74E+1	-3.09E+0
134.15	6.4200E+6	2.5032	0.4892	+5.0	4.731E+1	-6.2	4.70E+1	-5.12E+0
134.33	6.4300E+6	2.5116	0.4913	+5.0	4.736E+1	-6.2	4.71E+1	-5.13E+0
134.52	6.4400E+6	2.5032	0.4897	+3.0	4.741E+1	-3.7	4.73E+1	-3.08E+0
134.68	6.4500E+6	2.5017	0.4868	+5.0	4.705E+1	-6.2	4.68E+1	-5.09E+0
134.87	6.4600E+6	2.5003	0.4886	+5.0	4.731E+1	-6.2	4.70E+1	-5.12E+0
135.03	6.4700E+6	2.4918	0.4862	+3.0	4.725E+1	-3.7	4.72E+1	-3.07E+0
135.22	6.4800E+6	2.4989	0.4859	+4.0	4.704E+1	-5.0	4.69E+1	-4.07E+0
135.40	6.4900E+6	2.5088	0.4880	+5.0	4.704E+1	-6.2	4.68E+1	-5.08E+0
135.58	6.5000E+6	2.4975	0.4851	+5.0	4.695E+1	-6.2	4.67E+1	-5.07E+0
135.76	6.5100E+6	2.4961	0.4861	+2.0	4.715E+1	-2.5	4.71E+1	-2.04E+0
135.95	6.5200E+6	2.4989	0.4854	+4.0	4.697E+1	-5.0	4.68E+1	-4.06E+0
136.11	6.5300E+6	2.4989	0.4855	+5.0	4.697E+1	-6.2	4.67E+1	-5.07E+0
136.27	6.5400E+6	2.4989	0.4851	+5.0	4.692E+1	-6.2	4.66E+1	-5.07E+0
136.43	6.5500E+6	2.4805	0.4815	+1.0	4.697E+1	-1.2	4.70E+1	-1.02E+0
136.63	6.5600E+6	2.4777	0.4818	+5.0	4.702E+1	-6.2	4.67E+1	-5.08E+0
136.79	6.5700E+6	2.4819	0.4808	+2.0	4.685E+1	-2.5	4.68E+1	-2.03E+0
136.96	6.5800E+6	2.4749	0.4808	+2.0	4.701E+1	-2.5	4.70E+1	-2.04E+0
137.13	6.5900E+6	2.4805	0.4801	+4.0	4.677E+1	-5.0	4.66E+1	-4.04E+0
137.29	6.6000E+6	2.4720	0.4781	+2.0	4.675E+1	-2.5	4.67E+1	-2.02E+0
137.48	6.6100E+6	2.4735	0.4783	+4.0	4.671E+1	-5.0	4.65E+1	-4.04E+0
137.63	6.6200E+6	2.4819	0.4786	+2.0	4.657E+1	-2.5	4.65E+1	-2.01E+0
137.81	6.6300E+6	2.4650	0.4786	+1.0	4.698E+1	-1.2	4.70E+1	-1.02E+0
137.98	6.6400E+6	2.4607	0.4755	+2.0	4.669E+1	-2.5	4.66E+1	-2.02E+0
138.16	6.6500E+6	2.4579	0.4756	+5.0	4.673E+1	-6.2	4.65E+1	-5.04E+0
138.33	6.6600E+6	2.4579	0.4750	+4.0	4.668E+1	-5.0	4.65E+1	-4.03E+0
138.47	6.6700E+6	2.4494	0.4746	+1.0	4.686E+1	-1.2	4.69E+1	-1.01E+0
138.64	6.6800E+6	2.4678	0.4764	+4.0	4.662E+1	-5.0	4.64E+1	-4.03E+0
138.81	6.6900E+6	2.4579	0.4745	+2.0	4.664E+1	-2.5	4.66E+1	-2.02E+0
138.97	6.7000E+6	2.4565	0.4739	+5.0	4.656E+1	-6.2	4.63E+1	-5.02E+0
139.16	6.7100E+6	2.4508	0.4718	+2.0	4.648E+1	-2.5	4.64E+1	-2.01E+0
139.34	6.7200E+6	2.4621	0.4749	+2.0	4.659E+1	-2.5	4.65E+1	-2.01E+0
139.52	6.7300E+6	2.4537	0.4732	+4.0	4.656E+1	-5.0	4.64E+1	-4.02E+0
139.71	6.7400E+6	2.4452	0.4701	+4.0	4.638E+1	-5.0	4.62E+1	-4.00E+0
139.89	6.7500E+6	2.4409	0.4701	+1.0	4.651E+1	-1.2	4.65E+1	-1.01E+0
140.06	6.7600E+6	2.4381	0.4715	+5.0	4.670E+1	-6.2	4.64E+1	-5.04E+0
140.24	6.7700E+6	2.4282	0.4684	+2.0	4.660E+1	-2.5	4.66E+1	-2.01E+0
140.44	6.7800E+6	2.4466	0.4697	+2.0	4.632E+1	-2.5	4.63E+1	-2.00E+0
140.59	6.7900E+6	2.4367	0.4695	+4.0	4.651E+1	-5.0	4.63E+1	-4.02E+0
140.75	6.8000E+6	2.4381	0.4688	+2.0	4.641E+1	-2.5	4.64E+1	-2.01E+0
140.92	6.8100E+6	2.4296	0.4682	+2.0	4.654E+1	-2.5	4.65E+1	-2.01E+0
141.09	6.8200E+6	2.4141	0.4663	+2.0	4.667E+1	-2.5	4.66E+1	-2.02E+0
141.27	6.8300E+6	2.4254	0.4663	+2.0	4.640E+1	-2.5	4.64E+1	-2.00E+0
141.44	6.8400E+6	2.4268	0.4663	+2.0	4.637E+1	-2.5	4.63E+1	-2.00E+0
141.60	6.8500E+6	2.4169	0.4657	+2.0	4.653E+1	-2.5	4.65E+1	-2.01E+0
141.77	6.8600E+6	2.4254	0.4667	+5.0	4.641E+1	-6.2	4.61E+1	-5.00E+0
141.93	6.8700E+6	2.4240	0.4665	+4.0	4.644E+1	-5.0	4.63E+1	-4.01E+0
142.09	6.8800E+6	2.4155	0.4636	+4.0	4.628E+1	-4.9	4.61E+1	-3.99E+0
142.27	6.8900E+6	2.4098	0.4637	+2.0	4.646E+1	-2.5	4.64E+1	-2.01E+0
142.44	6.9000E+6	2.4098	0.4641	+2.0	4.651E+1	-2.5	4.65E+1	-2.01E+0
142.58	6.9100E+6	2.4056	0.4636	+4.0	4.652E+1	-5.0	4.63E+1	-4.02E+0
142.75	6.9200E+6	2.4112	0.4643	+2.0	4.649E+1	-2.5	4.64E+1	-2.01E+0
142.92	6.9300E+6	2.4155	0.4627	+4.0	4.618E+1	-4.9	4.60E+1	-3.98E+0
143.08	6.9400E+6	2.4056	0.4617	+2.0	4.631E+1	-2.5	4.63E+1	-2.00E+0
143.25	6.9500E+6	2.4027	0.4606	+3.0	4.623E+1	-3.7	4.61E+1	-2.99E+0
143.41	6.9600E+6	2.3886	0.4609	+0.0	4.662E+1	-0.0	4.66E+1	-0.00E+0
143.58	6.9700E+6	2.3971	0.4610	+3.0	4.642E+1	-3.7	4.63E+1	-3.01E+0
143.75	6.9800E+6	2.3971	0.4598	+3.0	4.626E+1	-3.7	4.62E+1	-2.99E+0
143.90	6.9900E+6	2.3928	0.4595	+1.0	4.634E+1	-1.2	4.63E+1	-1.00E+0
144.08	7.0000E+6	2.3801	0.4585	+3.0	4.651E+1	-3.7	4.64E+1	-3.01E+0
144.25	7.0100E+6	2.3957	0.4593	+1.0	4.626E+1	-1.2	4.62E+1	-9.99E-1
144.43	7.0200E+6	2.3858	0.4598	+0.0	4.655E+1	-0.0	4.65E+1	-0.00E+0
144.60	7.0300E+6	2.3773	0.4569	+0.0	4.640E+1	-0.0	4.64E+1	-0.00E+0
144.78	7.0400E+6	2.3773	0.4565	+0.0	4.635E+1	-0.0	4.63E+1	-0.00E+0
144.95	7.0500E+6	2.3759	0.4565	+3.0	4.636E+1	-3.7	4.63E+1	-3.00E+0
145.10	7.0600E+6	2.3858	0.4578	-1.0	4.630E+1	+1.2	4.63E+1	1.00E+0
145.28	7.0700E+6	2.3829	0.4586	+3.0	4.646E+1	-3.7	4.64E+1	-3.01E+0
145.45	7.0800E+6	2.3801	0.4575	+1.0	4.640E+1	-1.2	4.64E+1	-1.00E+0
145.61	7.0900E+6	2.3731	0.4548	+0.0	4.623E+1	-0.0	4.62E+1	-0.00E+0
145.79	7.1000E+6	2.3716	0.4555	+0.0	4.636E+1	-0.0	4.64E+1	-0.00E+0
145.97	7.1100E+6	2.3731	0.4559	+1.0	4.637E+1	-1.2	4.64E+1	-1.00E+0
146.14	7.1200E+6	2.3716	0.4551	+1.0	4.630E+1	-1.2	4.63E+1	-1.00E+0
146.31	7.1300E+6	2.3731	0.4541	+1.0	4.614E+1	-1.2	4.61E+1	-9.96E-1
146.48	7.1400E+6	2.3674	0.4557	+1.0	4.648E+1	-1.2	4.65E+1	-1.00E+0
146.64	7.1500E+6	2.3518	0.4530	+1.0	4.651E+1	-1.2	4.65E+1	-1.01E+0
146.82	7.1600E+6	2.3632	0.4528	+3.0	4.621E+1	-3.7	4.61E+1	-2.99E+0
146.99	7.1700E+6	2.3561	0.4516	+3.0	4.622E+1	-3.7	4.61E+1	-2.99E+0
147.16	7.1800E+6	2.3504	0.4509	+3.0	4.626E+1	-3.7	4.62E+1	-2.99E+0
147.36	7.1900E+6	2.3476	0.4497	+0.0	4.621E+1	-0.0	4.62E+1	-0.00E+0
147.52	7.2000E+6	2.3561	0.4513	+4.0	4.617E+1	-4.9	4.60E+1	-3.98E+0
147.71	7.2100E+6	2.3476	0.4489	+4.0	4.607E+1	-4.9	4.59E+1	-3.97E+0
147.89	7.2200E+6	2.3533	0.4516	+1.0	4.630E+1	-1.2	4.63E+1	-1.00E+0
148.07	7.2300E+6	2.3504	0.4479	+1.0	4.590E+1	-1.2	4.59E+1	-9.90E-1
148.25	7.2400E+6	2.3547	0.4517	+0.0	4.629E+1	-0.0	4.63E+1	-0.00E+0
148.44	7.2500E+6	2.3476	0.4511	+1.0	4.638E+1	-1.2	4.64E+1	-1.00E+0
148.62	7.2600E+6	2.3377	0.4496	+0.0	4.643E+1	-0.0	4.64E+1	-0.00E+0
148.79	7.2700E+6	2.3335	0.4475	+3.0	4.625E+1	-3.7	4.61E+1	-2.99E+0
148.99	7.2800E+6	2.3405	0.4517	+0.0	4.663E+1	-0.0	4.66E+1	-0.00E+0
149.17	7.2900E+6	2.3405	0.4483	+1.0	4.620E+1	-1.2	4.62E+1	-9.97E-1
149.34	7.3000E+6	2.3391	0.4479	+1.0	4.618E+1	-1.2	4.62E+1	-9.97E-1
149.49	7.3100E+6	2.3349	0.4486	+0.0	4.637E+1	-0.0	4.64E+1	-0.00E+0
149.67	7.3200E+6	2.3292	0.4469	+0.0	4.630E+1	-0.0	4.63E+1	-0.00E+0
149.85	7.3300E+6	2.3306	0.4469	+0.0	4.626E+1	-0.0	4.63E+1	-0.00E+0
150.02	7.3400E+6	2.3165	0.4459	+3.0	4.646E+1	-3.7	4.64E+1	-3.01E+0
150.19	7.3500E+6	2.3278	0.4459	+1.0	4.620E+1	-1.2	4.62E+1	-9.97E-1
150.35	7.3600E+6	2.3250	0.4446	+1.0	4.611E+1	-1.2	4.61E+1	-9.95E-1
150.55	7.3700E+6	2.3108	0.4448	-1.0	4.648E+1	+1.2	4.65E+1	1.00E+0
150.72	7.3800E+6	2.3137	0.4441	+0.0	4.632E+1	-0.0	4.63E+1	-0.00E+0
150.88	7.3900E+6	2.3250	0.4455	+1.0	4.622E+1	-1.2	4.62E+1	-9.98E-1
151.05	7.4000E+6	2.3221	0.4468	+1.0	4.645E+1	-1.2	4.64E+1	-1.00E+0
151.23	7.4100E+6	2.3108	0.4434	+0.0	4.629E+1	-0.0	4.63E+1	-0.00E+0
151.41	7.4200E+6	2.3094	0.4421	+3.0	4.615E+1	-3.7	4.61E+1	-2.99E+0
151.58	7.4300E+6	2.3151	0.4439	-1.0	4.626E+1	+1.2	4.63E+1	9.99E-1
151.76	7.4400E+6	2.3108	0.4425	+1.0	4.618E+1	-1.2	4.62E+1	-9.97E-1
151.95	7.4500E+6	2.3080	0.4435	+0.0	4.638E+1	-0.0	4.64E+1	-0.00E+0
152.15	7.4600E+6	2.3052	0.4412	-1.0	4.616E+1	+1.2	4.61E+1	9.96E-1
152.33	7.4700E+6	2.3080	0.4428	+1.0	4.629E+1	-1.2	4.63E+1	-1.00E+0
152.51	7.4800E+6	2.2939	0.4415	+0.0	4.648E+1	-0.0	4.65E+1	-0.00E+0
152.68	7.4900E+6	2.2953	0.4412	+1.0	4.641E+1	-1.2	4.64E+1	-1.00E+0
152.83	7.5000E+6	2.3009	0.4419	+3.0	4.634E+1	-3.7	4.62E+1	-3.00E+0
152.98	7.5100E+6	2.2981	0.4407	+1.0	4.626E+1	-1.2	4.63E+1	-9.99E-1
153.14	7.5200E+6	2.2924	0.4426	+0.0	4.666E+1	-0.0	4.67E+1	-0.00E+0
153.31	7.5300E+6	2.2981	0.4410	+3.0	4.628E+1	-3.7	4.62E+1	-3.00E+0
153.48	7.5400E+6	2.2840	0.4398	+1.0	4.650E+1	-1.2	4.65E+1	-1.01E+0
153.68	7.5500E+6	2.2840	0.4390	+0.0	4.640E+1	-0.0	4.64E+1	-0.00E+0
153.82	7.5600E+6	2.2840	0.4383	-1.0	4.630E+1	+1.2	4.63E+1	1.00E+0
153.97	7.5700E+6	2.2868	0.4391	+0.0	4.634E+1	-0.0	4.63E+1	-0.00E+0
154.14	7.5800E+6	2.2811	0.4383	-1.0	4.637E+1	+1.2	4.64E+1	1.00E+0
154.31	7.5900E+6	2.2783	0.4381	+1.0	4.643E+1	-1.2	4.64E+1	-1.00E+0
154.48	7.6000E+6	2.2797	0.4378	+0.0	4.635E+1	-0.0	4.64E+1	-0.00E+0
154.64	7.6100E+6	2.2783	0.4370	+0.0	4.628E+1	-0.0	4.63E+1	-0.00E+0
154.83	7.6200E+6	2.2769	0.4371	+0.0	4.633E+1	-0.0	4.63E+1	-0.00E+0
154.99	7.6300E+6	2.2755	0.4380	-1.0	4.648E+1	+1.2	4.65E+1	1.00E+0
155.16	7.6400E+6	2.2769	0.4381	+0.0	4.646E+1	-0.0	4.65E+1	-0.00E+0
155.34	7.6500E+6	2.2684	0.4364	-1.0	4.645E+1	+1.2	4.64E+1	1.00E+0
155.52	7.6600E+6	2.2712	0.4373	-1.0	4.649E+1	+1.2	4.65E+1	1.00E+0
155.70	7.6700E+6	2.2684	0.4364	+1.0	4.645E+1	-1.2	4.64E+1	-1.00E+0
155.89	7.6800E+6	2.2642	0.4359	+0.0	4.649E+1	-0.0	4.65E+1	-0.00E+0
156.05	7.6900E+6	2.2613	0.4350	+1.0	4.645E+1	-1.2	4.64E+1	-1.00E+0
156.22	7.7000E+6	2.2642	0.4346	+0.0	4.632E+1	-0.0	4.63E+1	-0.00E+0
156.39	7.7100E+6	2.2557	0.4337	+1.0	4.642E+1	-1.2	4.64E+1	-1.00E+0
156.57	7.7200E+6	2.2557	0.4337	+0.0	4.642E+1	-0.0	4.64E+1	-0.00E+0
156.72	7.7300E+6	2.2571	0.4346	-1.0	4.650E+1	+1.2	4.65E+1	1.00E+0
